id	source_pr	source_head	path	hunk_header	disposition	child_ids	rationale	owning_test
139-H041	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -40,0 +69,20 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H042	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -47,2 +95,9 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H043	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -59,0 +115,2 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H044	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -60,0 +118 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H045	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -64,2 +122,8 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H046	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -67 +131,21 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H047	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -69 +153,7 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H048	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -74,0 +165 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H049	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -75,0 +167 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H050	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -79,0 +172,12 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H051	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -87 +191,28 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H052	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -89,4 +220,3 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H053	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -120,0 +251,7 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H054	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -127,0 +265,4 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H055	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -140 +281,7 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H056	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -187 +334,6 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H057	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -240 +392 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H058	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -247,27 +399,178 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H059	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -275,2 +578,56 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H060	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -278 +635,2 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H061	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -283 +641,8 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H062	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -287 +652,3 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H063	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -291 +658 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H064	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -339 +706,3 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H065	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -352,2 +720,0 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H066	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -376,12 +743,44 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H067	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -418,4 +817 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H068	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -422,0 +819,14 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H069	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -439,0 +850,59 @@ function Field({ label, children }: { label: string; children: React.ReactNode }	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H070	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -3,3 +3,3 @@ import { useT, type TFn } from "../i18n";	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H071	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -7 +7 @@ import type { AccountQuota } from "../codex-quota-utils";	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H072	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -9,3 +9,7 @@ import QuotaBars from "../components/QuotaBars";	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H073	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -15 +19,11 @@ interface AccountEntry {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H074	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -17 +31 @@ export default function CodexAuth({ apiBase }: { apiBase: string }) {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H075	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -20 +34 @@ export default function CodexAuth({ apiBase }: { apiBase: string }) {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H076	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -24 +38 @@ export default function CodexAuth({ apiBase }: { apiBase: string }) {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H077	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -43,0 +58 @@ export default function CodexAuth({ apiBase }: { apiBase: string }) {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H078	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -72 +87 @@ export default function CodexAuth({ apiBase }: { apiBase: string }) {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H079	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -95 +110 @@ export default function CodexAuth({ apiBase }: { apiBase: string }) {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H080	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -149,0 +165,8 @@ export default function CodexAuth({ apiBase }: { apiBase: string }) {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H081	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -151,76 +174,2 @@ export default function CodexAuth({ apiBase }: { apiBase: string }) {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H082	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -242,2 +191,2 @@ export default function CodexAuth({ apiBase }: { apiBase: string }) {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H083	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -270 +219 @@ export default function CodexAuth({ apiBase }: { apiBase: string }) {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H084	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -298,2 +247,2 @@ export default function CodexAuth({ apiBase }: { apiBase: string }) {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H085	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -313 +262 @@ export default function CodexAuth({ apiBase }: { apiBase: string }) {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H086	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -315,0 +265,219 @@ export default function CodexAuth({ apiBase }: { apiBase: string }) {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H087	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -351 +519 @@ function CreditItem({ index, grantedAt, expiresAt, isNext, t }: {	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H088	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -354,0 +523 @@ function TicketBadge({ account, onClick, t }: { account: AccountEntry; onClick:	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H089	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/CodexAccountPool.tsx	@@ -359,0 +529 @@ function TicketBadge({ account, onClick, t }: { account: AccountEntry; onClick:	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H090	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/ProviderWorkspace.tsx	@@ -0,0 +1,2791 @@	rewrite-fanout	003/PW	Indivisible source hunk is accounted only by the symbol sub-ledger; the parent receives no child credit.	bun run --cwd gui lint && bun run --cwd gui build
139-H091	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/QuotaBars.tsx	@@ -1 +1,3 @@	rewrite	070	Build bounded quota rows and usage rendering on the phase-020 contract.	bun test tests/rate-limit-reset-credits.test.ts && bun run --cwd gui build
139-H092	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/QuotaBars.tsx	@@ -4 +6,133 @@ import { type AccountQuota, normalizeQuotaForPlan } from "../codex-quota-utils";	rewrite	070	Build bounded quota rows and usage rendering on the phase-020 contract.	bun test tests/rate-limit-reset-credits.test.ts && bun run --cwd gui build
139-H093	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/QuotaBars.tsx	@@ -9,0 +144,2 @@ export default function QuotaBars({ quota, plan, threshold, t, className }: {	rewrite	070	Build bounded quota rows and usage rendering on the phase-020 contract.	bun test tests/rate-limit-reset-credits.test.ts && bun run --cwd gui build
139-H094	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/QuotaBars.tsx	@@ -11,11 +147,2 @@ export default function QuotaBars({ quota, plan, threshold, t, className }: {	rewrite	070	Build bounded quota rows and usage rendering on the phase-020 contract.	bun test tests/rate-limit-reset-credits.test.ts && bun run --cwd gui build
139-H095	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/QuotaBars.tsx	@@ -22,0 +150,9 @@ export default function QuotaBars({ quota, plan, threshold, t, className }: {	rewrite	070	Build bounded quota rows and usage rendering on the phase-020 contract.	bun test tests/rate-limit-reset-credits.test.ts && bun run --cwd gui build
139-H096	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/QuotaBars.tsx	@@ -32,0 +169 @@ export default function QuotaBars({ quota, plan, threshold, t, className }: {	rewrite	070	Build bounded quota rows and usage rendering on the phase-020 contract.	bun test tests/rate-limit-reset-credits.test.ts && bun run --cwd gui build
139-H097	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/QuotaBars.tsx	@@ -39 +176,8 @@ export default function QuotaBars({ quota, plan, threshold, t, className }: {	rewrite	070	Build bounded quota rows and usage rendering on the phase-020 contract.	bun test tests/rate-limit-reset-credits.test.ts && bun run --cwd gui build
